Postal Code,Borough,Neighbourhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.692657000000004,-79.2648481
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7785175,-79.3465557
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.72589970000001,-79.340923
M1G,Scarborough,Woburn,43.695343900000005,-79.3183887
M1H,Scarborough,Cedarbrae,43.7127511,-79.3901975
M1J,Scarborough,Scarborough Village,43.6571618,-79.37893709999999
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7116948,-79.41693559999999
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.709577,-79.44507259999999
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.67318529999999,-79.48726190000001
M1N,Scarborough,"Birch Cliff, Cliffside West",43.653653600000005,-79.5069436
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.696319,-79.53224240000002
M1R,Scarborough,"Wexford, Maryvale",,
M1S,Scarborough,Agincourt,,
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",,
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",,
M1W,Scarborough,"Steeles West, L'Amoreaux West",,
M1X,Scarborough,Upper Rouge,,
M2H,North York,Hillcrest Village,43.7153834,-79.40567840000001
M2J,North York,"Fairview, Henry Farm, Oriole",43.6514939,-79.3754179
M2K,North York,Bayview Village,43.6969476,-79.41130720000001
M2L,North York,"York Mills, Silver Hills",43.6937813,-79.42819140000002
M2M,North York,"Willowdale, Newtonbrook",43.6616083,-79.46476329999999
M2N,North York,"Willowdale, Willowdale East",43.6362579,-79.49850909999999
M2P,North York,York Mills West,43.6889054,-79.55472440000001
M2R,North York,"Willowdale, Willowdale West",,
M3A,North York,Parkwoods,43.7635726,-79.1887115
M3B,North York,Don Mills,43.750071500000004,-79.2958491
M3C,North York,Don Mills,43.7574902,-79.37471409999999
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7043244,-79.3887901
M3J,North York,"Northwood Park, York University",43.644770799999996,-79.3733064
M3K,North York,Downsview,43.6727097,-79.40567840000001
M3L,North York,Downsview,43.6890256,-79.453512
M3M,North York,Downsview,43.6489597,-79.456325
M3N,North York,Downsview,43.6288408,-79.52099940000001
M4A,North York,Victoria Village,43.7709921,-79.21691740000001
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7942003,-79.26202940000002
M4C,East York,Woodbine Heights,43.789053,-79.40849279999999
M4E,East Toronto,The Beaches,43.737473200000004,-79.46476329999999
M4G,East York,Leaside,43.7053689,-79.34937190000001
M4H,East York,Thorncliffe Park,43.6895743,-79.38315990000001
M4J,East York,"East Toronto, Broadview North (Old East York)",43.6579524,-79.3873826
M4K,East Toronto,"The Danforth West, Riverdale",43.6626956,-79.4000493
M4L,East Toronto,"India Bazaar, The Beaches West",43.669542,-79.4225637
M4M,East Toronto,Studio District,43.6515706,-79.4844499
M4N,Central Toronto,Lawrence Park,43.6678556,-79.53224240000002
M4P,Central Toronto,Davisville North,43.706748299999994,-79.5940544
M4R,Central Toronto,"North Toronto West, Lawrence Park",,
M4S,Central Toronto,Davisville,,
M4T,Central Toronto,"Moore Park, Summerhill East",,
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",,
M4W,Downtown Toronto,Rosedale,,
M4X,Downtown Toronto,"St. James Town, Cabbagetown",,
M4Y,Downtown Toronto,Church and Wellesley,,
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.773136,-79.23947609999999
M5B,Downtown Toronto,"Garden District, Ryerson",43.7816375,-79.3043021
M5C,Downtown Toronto,St. James Town,43.7701199,-79.40849279999999
M5E,Downtown Toronto,Berczy Park,43.7390146,-79.5069436
M5G,Downtown Toronto,Central Bay Street,43.685347,-79.3381065
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.68641229999999,-79.4000493
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.65057120000001,-79.3845675
